iter	Passed	Remaining
1363	235367	4078549
1364	235499	4077681
1365	235642	4077000
1366	235785	4076316
1367	235955	4076092
1368	236103	4075494
1369	236236	4074644
1370	236368	4073786
1371	236533	4073473
1372	236674	4072769
1373	236871	4073016
1374	237025	4072535
1375	237247	4073210
1376	237481	4074098
1377	237628	4073484
1378	237807	4073424
1379	237972	4073119
1380	238107	4072303
1381	238263	4071857
1382	238433	4071646
1383	238573	4070917
1384	238721	4070323
1385	238854	4069494
1386	238993	4068751
1387	239169	4068636
1388	239319	4068093
1389	239494	4067966
1390	239677	4067970
1391	239839	4067624
1392	239972	4066790
1393	240152	4066737
1394	240294	4066059
1395	240443	4065499
1396	240641	4065760
1397	240785	4065111
1398	240962	4065010
1399	241132	4064805
1400	241321	4064910
1401	241468	4064312
1402	241630	4063968
1403	241762	4063128
1404	241960	4063387
1405	242096	4062611
1406	242242	4061998
1407	242391	4061440
1408	242532	4060737
1409	242675	4060089
1410	242863	4060179
1411	243006	4059518
1412	243135	4058624
1413	243296	4058273
1414	243456	4057892
1415	243614	4057483
1416	243744	4056610
1417	243894	4056076
1418	244054	4055705
1419	244211	4055292
1420	244383	4055107
1421	244516	4054296
1422	244686	4054093
1423	244829	4053441
1424	245074	4054479
1425	245202	4053575
1426	245362	4053208
1427	245500	4052479
1428	245714	4053000
1429	245931	4053570
1430	246125	4053759
1431	246296	4053572
1432	246464	4053341
1433	246610	4052733
1434	246785	4052610
1435	246992	4053009
1436	247135	4052375
1437	247334	4052639
1438	247473	4051924
1439	247627	4051464
1440	247788	4051102
1441	247981	4051284
1442	248181	4051574
1443	248326	4050959
1444	248473	4050367
1445	248601	4049493
1446	248812	4049954
1447	248971	4049571
1448	249115	4048938
1449	249262	4048369
1450	249425	4048049
1451	249565	4047355
1452	249717	4046873
1453	249885	4046625
1454	250050	4046351
1455	250196	4045757
1456	250342	4045174
1457	250480	4044454
1458	250647	4044203
1459	250784	4043469
1460	250935	4042968
1461	251112	4042882
1462	251258	4042283
1463	251566	4044313
1464	251748	4044302
1465	251951	4044635
1466	252133	4044617
1467	252296	4044306
1468	252454	4043905
1469	252602	4043364
1470	252780	4043289
1471	252932	4042788
1472	253091	4042423
1473	253248	4042009
1474	253401	4041543
1475	253545	4040922
1476	253698	4040449
1477	253851	4039976
1478	254010	4039612
1479	254156	4039023
1480	254317	4038680
1481	254519	4038992
1482	254655	4038256
1483	254829	4038122
1484	254964	4037374
1485	255132	4037144
1486	255293	4036798
1487	255434	4036143
1488	255590	4035725
1489	255737	4035154
1490	255904	4034913
1491	256072	4034689
1492	256219	4034124
1493	256407	4034208
